sid	UMAP-1	UMAP-2
P015-Case-C0-V2	-0.5200736	5.786848
P015-Case-C0-V3	1.2405847	6.8654685
P015-Case-C0-V4	1.2538031	6.8628306
P016-Ctrl-C2-V1	-4.9327035	5.19158
P017-Case-C1-V1	1.4147046	2.4426928
P017-Case-C1-V2	1.5470399	2.4033403
P017-Case-C1-V3	1.4807109	2.368082
P018-Case-C1-V1	0.6793062	2.3966727
P018-Case-C1-V2	0.9536088	2.4886127
P018-Case-C1-V3	0.9553978	2.4751081
P018-Case-C1-V4	0.52896434	3.28833
P019-Ctrl-C2-V1	-4.3844323	5.6052866
P019-Ctrl-C2-V3	-4.0642943	5.841757
P020-Case-C0-V1	-1.6375879	6.6360655
P020-Case-C0-V3	-1.5058787	6.630815
P020-Case-C0-V4	0.71583205	6.9528775
P020-Case-C2-V2	-3.3670785	6.6307774
P021-Ctrl-C2-V1	-3.0118651	5.5657644
P021-Ctrl-C2-V3	-2.905745	5.577473
P021-Ctrl-C2-V4	-2.9691174	5.5502357
P021-Ctrl-C2-V5	-3.25607	5.5581317
P022-Case-C0-V1	1.7995601	7.4216437
P022-Case-C0-V2	1.661105	7.866131
P022-Case-C0-V3	1.7395704	7.4770722
P022-Case-C0-V4	1.7019775	6.8707943
P023-Case-C1-V1	0.9749016	2.6410325
P023-Case-C1-V2	0.83130234	2.9139693
P023-Case-C1-V4	1.0007482	3.1572974
P024-Case-C1-V1	1.694452	2.5225093
P024-Case-C1-V2	1.3398471	3.9342172
P024-Case-C1-V3	1.4487383	3.4823687
P024-Case-C1-V4	1.2418419	4.2455983
P025-Case-C0-V1	0.2497369	6.1587195
P025-Case-C0-V2	0.5047651	6.426116
P025-Case-C0-V3	0.45453313	6.5324035
P025-Case-C0-V4	0.7004085	7.680236
P026-Ctrl-C2-V1	-3.1718593	4.6509957
P026-Ctrl-C2-V3	-3.1902885	4.3203735
P026-Ctrl-C2-V4	-3.1437414	4.418483
P026-Ctrl-C2-V5	-3.392665	4.497745
P027-Ctrl-C1-V4	1.4757528	4.920006
P027-Ctrl-C2-V1	-2.7896829	3.7156093
P027-Ctrl-C2-V3	-2.831506	3.6496994
P027-Ctrl-C2-V5	-2.6048427	3.5134532
P028-Ctrl-C0-V4	1.5647424	5.2482653
P028-Ctrl-C2-V1	-2.6536603	3.778949
P028-Ctrl-C2-V3	-1.8571993	3.6757238
P028-Ctrl-C2-V5	-1.9373951	3.6157014
P029-Ctrl-C2-V1	-4.7376356	5.146093
P030-Case-C0-V2	-0.5002041	6.588637
P030-Case-C0-V3	-1.0992575	6.685015
P030-Case-C0-V4	1.316065	7.1694083
P030-Case-C2-V1	-3.3755033	4.364987
P031-Ctrl-C0-V4	-0.466807	7.7312746
P031-Ctrl-C2-V1	-3.4485183	6.2615075
P031-Ctrl-C2-V3	-3.3308814	6.4746375
P031-Ctrl-C2-V5	-3.638061	6.115426
P032-Case-C0-V1	-0.9708041	5.681941
P032-Case-C0-V2	1.1197428	7.227546
P032-Case-C0-V3	1.221858	7.2250023
P032-Case-C0-V4	1.2638115	7.094753
P033-Ctrl-C2-V3	-4.51848	5.3755875
P034-Case-C0-V1	1.5912086	7.894198
P034-Case-C0-V2	1.5965685	7.942003
P034-Case-C0-V3	1.6716436	7.69015
P034-Case-C0-V4	1.5642173	7.741085
P035-Case-C0-V1	0.006716042	5.547084
P035-Case-C0-V2	-0.56728923	7.0666304
P035-Case-C0-V3	-0.47465572	6.942576
P035-Case-C0-V4	1.1195234	7.0788784
P036-Case-C0-V2	-1.5537627	6.0329084
P036-Case-C0-V3	-1.6543374	6.0003157
P036-Case-C0-V4	-1.5744891	5.829786
P036-Case-C2-V1	-3.1887846	6.53103
P037-Case-C1-V1	1.6963254	2.3326228
P037-Case-C1-V2	1.63796	2.3636024
P038-Ctrl-C2-V1	-1.9655665	5.494701
P038-Ctrl-C2-V3	-4.9408355	5.1883607
P039-Case-C0-V1	-1.074663	5.8366275
P039-Case-C0-V2	-1.5259237	5.756624
P039-Case-C0-V4	-1.37044	5.8147273
P039-Case-C2-V3	-1.6349094	6.46095
P040-Ctrl-C2-V1	-4.0905695	4.6466866
P040-Ctrl-C2-V3	-4.2445254	4.7984037
P041-Ctrl-C2-V1	-3.7777874	5.571507
P042-Ctrl-C2-V1	-3.4458106	6.2053404
P042-Ctrl-C2-V3	-3.41069	6.204107
P042-Ctrl-C2-V4	-3.3710954	6.352846
